Elapsed Time (s),Speed (kph)
0,0.81
0.1,0.88
0.2,1.02
0.3,1.02
0.4,1.08
0.5,1.77
0.6,1.59
0.7,1.39
0.8,1.96
0.9,0.69
1,0.8
1.1,0.14
1.2,0.97
1.3,1.14
1.4,1.81
1.5,2.14
1.6,1.82
1.7,1.47
1.8,1.53
1.9,1.16
2,1.07
2.1,0.66
2.2,0.41
2.3,0.3
2.4,0.34
2.5,0.21
2.6,0.19
2.7,0.43
2.8,0.18
2.9,0.19
3,0.13
3.1,0.05
3.2,1.25
3.3,2.19
3.4,3.36
3.5,3.2
3.6,3.12
3.7,2.54
3.8,1.34
3.9,1.49
4,1.85
4.1,1.93
4.2,3.09
4.3,4.02
4.4,4.53
4.5,6.47
4.6,7.35
4.7,7.32
4.8,6.12
4.9,5.74
5,4.42
5.1,3
5.2,2.55
5.3,3.69
5.4,5.4
5.5,6.46
5.6,6.76
5.7,7.12
5.8,6.93
5.9,5.29
6,4.8
6.1,5.38
6.2,4.12
6.3,4.65
6.4,4.67
6.5,5.64
6.6,5.71
6.7,5.09
6.8,5.28
6.9,5.76
7,5.41
7.1,4.96
7.2,4.67
7.3,4.27
7.4,5.16
7.5,4.91
7.6,5.29
7.7,5.25
7.8,5.06
7.9,4.71
8,5.2
8.1,5.01
8.2,3.84
8.3,4.05
8.4,4.45
8.5,3.41
8.6,3.97
8.7,4.12
8.8,3.74
8.9,3.46
9,3.1
9.1,3.32
9.2,3.32
9.3,2.91
9.4,2.94
9.5,3.54
9.6,3.43
9.7,2.58
9.8,1.9
9.9,0.42
10,1.23
10.1,0.43
10.2,0.19
10.3,0.13
10.4,0.13
10.5,0.33
10.6,0.4
10.7,0.09
10.8,0.27
10.9,0.19
11,0.32
11.1,0.24
11.2,0.15
11.3,1.44
11.4,1.85
11.5,2.59
11.6,2.59
11.7,1.72
11.8,2.53
11.9,3.24
12,3.71
12.1,1.77
12.2,1.7
12.3,1.07
12.4,0.75
12.5,0.32
12.6,0.19
12.7,0.21
12.8,0.23
12.9,0.07
13,0.11
13.1,0.02
13.2,0.21
13.3,0.11
13.4,0.47
13.5,0.98
13.6,1.07
13.7,2.49
13.8,2.53
13.9,3.17
14,2.27
14.1,1.16
14.2,1.58
14.3,0.46
14.4,0.49
14.5,0.21
14.6,0.12
14.7,0.2
14.8,0.21
14.9,0.21
15,0.17
15.1,0.22
15.2,0.12
15.3,0.16
15.4,0.21
15.5,1.36
15.6,2.04
15.7,2.33
15.8,3.36
15.9,2.63
16,1.96
16.1,1.06
16.2,0.67
16.3,0.36
16.4,0.26
16.5,0.08
16.6,0.17
16.7,0.08
16.8,0.11
16.9,0.17
17,0.05
17.1,0.11
17.2,0.09
17.3,1.19
17.4,1.38
17.5,1.16
17.6,1.85
17.7,1.8
17.8,0.97
17.9,4.12
18,4.41
18.1,4.02
18.2,5.47
18.3,3.88
18.4,6.86
18.5,4.01
18.6,4.84
18.7,2.54
18.8,3.66
18.9,1.77
19,1.26
19.1,1.62
19.2,1.11
19.3,0.99
19.4,0.51
19.5,0.04
19.6,0.12
19.7,0.18
19.8,0.13
19.9,0.11
20,0.19
20.1,0.29
20.2,0.1
20.3,0.24
20.4,0.31
20.5,1.89
20.6,1.71
20.7,3.06
20.8,3.99
20.9,3.72
21,1.45
21.1,5.37
21.2,2.64
21.3,1.91
21.4,2.16
21.5,2.34
21.6,4.67
21.7,4.93
21.8,2.36
21.9,1.8
22,2.22
22.1,0.36
22.2,0.67
22.3,0.59
22.4,1.61
22.5,0.91
22.6,0.55
22.7,0.69
22.8,1.38
22.9,0.21
23,0.21
23.1,0.69
23.2,0.51
23.3,1.13
23.4,1.68
23.5,1.03
23.6,1.84
23.7,1.79
23.8,2.46
23.9,2.5
24,2.04
24.1,2.8
24.2,2
24.3,1.85
24.4,1.56
24.5,3
24.6,1.4
24.7,2.46
24.8,2.91
24.9,3
25,3.09
25.1,3.67
25.2,3.04
25.3,4.15
25.4,2.93
25.5,4.01
25.6,3.96
25.7,4.1
25.8,3.9
25.9,2.02
26,2.11
26.1,1.88
26.2,2.88
26.3,3.72
26.4,3.27
26.5,4.01
26.6,4.47
26.7,4.6
26.8,3.64
26.9,4.77
27,4.25
27.1,4.75
27.2,3.73
27.3,4.3
27.4,4.94
27.5,3.88
27.6,4.34
27.7,3.62
27.8,3.97
27.9,4.07
28,4.12
28.1,3.07
28.2,4.3
28.3,3.4
28.4,4.29
28.5,4.99
28.6,4.42
28.7,4.58
28.8,4.5
28.9,4.8
29,5.44
29.1,4.96
29.2,4.5
29.3,4.75
29.4,4.18
29.5,5.14
29.6,5.27
29.7,4.91
29.8,5.01
29.9,4.42
30,4.91
30.1,5.31
30.2,4.12
30.3,4.69
30.4,4.23
30.5,4.4
30.6,4.99
30.7,4.8
30.8,4.41
30.9,4.58
31,3.97
31.1,4.58
31.2,4.64
31.3,3.77
31.4,4.17
31.5,4.39
31.6,4.43
31.7,5.39
31.8,4.84
31.9,4.92
32,4.4
32.1,4.78
32.2,4.58
32.3,5.79
32.4,4.34
32.5,5.29
32.6,4.34
32.7,5.33
32.8,5.59
32.9,5.45
33,4.81
33.1,5.1
33.2,4.44
33.3,5.86
33.4,5.02
33.5,4.82
33.6,4.72
33.7,4.71
33.8,5.39
33.9,5.45
34,4.67
34.1,5.52
34.2,4.58
34.3,5.07
34.4,5.98
34.5,4.24
34.6,4.41
34.7,4.98
34.8,4.35
34.9,4.98
35,5.02
35.1,5.46
35.2,4.87
35.3,4.49
35.4,5.58
35.5,5.16
35.6,4.1
35.7,4.14
35.8,5.03
35.9,5
36,4.56
36.1,5.02
36.2,4.81
36.3,4.19
36.4,5.49
36.5,5.03
36.6,4.27
36.7,3.88
36.8,4.49
36.9,4.18
37,5.89
37.1,4.91
37.2,4.75
37.3,4.42
37.4,4.43
37.5,4.66
37.6,4.99
37.7,3.98
37.8,4.34
37.9,3.89
38,2.85
38.1,4.32
38.2,4.58
38.3,4.29
38.4,5.17
38.5,4.43
38.6,4.54
38.7,4.67
38.8,4.64
38.9,3.66
39,3.08
39.1,4.33
39.2,4.75
39.3,4.73
39.4,3.96
39.5,5.02
39.6,4.6
39.7,3.63
39.8,3.64
39.9,3.41
40,4.43
40.1,4.05
40.2,4.47
40.3,4.34
40.4,4.03
40.5,4.07
40.6,3.81
40.7,4.49
40.8,4.65
40.9,3.93
41,3.92
41.1,4.9
41.2,3.97
41.3,3.44
41.4,3.51
41.5,3.42
41.6,4.25
41.7,5.61
41.8,6.36
41.9,6.49
42,4.97
42.1,4.73
42.2,4.64
42.3,3.5
42.4,3.03
42.5,4.25
42.6,3.8
42.7,3.8
42.8,3.85
42.9,4.46
43,4.48
43.1,3.5
43.2,4.9
43.3,5.84
43.4,4.66
43.5,4.85
43.6,4.12
43.7,3.42
43.8,4.04
43.9,3.31
44,3.55
44.1,4.94
44.2,2.38
44.3,4.63
44.4,4.26
44.5,3.37
44.6,4.42
44.7,3.37
44.8,2.09
44.9,1.95
45,2.24
45.1,4.55
45.2,5.14
45.3,3.66
45.4,3.34
45.5,1.43
45.6,1.53
45.7,1.96
45.8,2.5
45.9,2.41
46,3.57
46.1,2.73
46.2,2.28
46.3,2.57
46.4,3.68
46.5,2.63
46.6,3.03
46.7,2.78
46.8,2.88
46.9,2.01
47,1.9
47.1,2.56
47.2,1.65
47.3,1.92
47.4,1.88
47.5,2.11
47.6,1.51
47.7,1.34
47.8,1.86
47.9,2.64
48,2.24
48.1,1.3
48.2,1.35
48.3,3.86
48.4,4.51
48.5,4.84
48.6,4.99
48.7,2.21
48.8,1.14
48.9,1.94
49,2.84
49.1,2.25
49.2,2.67
49.3,3.1
49.4,3.08
49.5,3.55
49.6,3.08
49.7,4.09
49.8,3.1
49.9,1.97
50,4.44
50.1,4.64
50.2,4.07
50.3,3.97
50.4,4.17
50.5,3.82
50.6,4.92
50.7,5.46
50.8,3.77
50.9,3.94
51,5.14
51.1,4.1
51.2,3.72
51.3,3.42
51.4,3.55
51.5,3.04
51.6,3.71
51.7,4.07
51.8,4.02
51.9,4.23
52,4.87
52.1,3.7
52.2,3.74
52.3,2.76
52.4,2.78
52.5,3.21
52.6,2.36
52.7,4.25
52.8,2.29
52.9,3.66
53,3.32
53.1,2.08
53.2,0.99
53.3,3.5
53.4,3.77
53.5,1.54
53.6,0.62
53.7,0.67
53.8,2.11
53.9,0.68
54,1.24
54.1,1.42
54.2,1.97
54.3,1.8
54.4,2.09
54.5,1.81
54.6,1.81
54.7,2.59
54.8,2.79
54.9,1.97
55,2.74
55.1,2.4
55.2,2.68
55.3,4.35
55.4,4.52
55.5,1.03
55.6,1.66
55.7,2.39
55.8,0.88
55.9,1.02
56,0.24
56.1,0.42
